450,0,22,46,95,190,290,360
500,135,92,69,32,3,-1,0
505,258,178,143,67,0,2,7
510,494,340,267,121,9,4,7
515,771,538,407,197,13,3,1
520,949,661,490,233,17,1,7
525,964,685,504,234,20,-1,-1
530,826,582,432,193,10,-6,0
535,596,423,303,141,14,-5,-2
540,419,312,226,100,14,-5,-4
545,354,272,211,123,28,3,0
550,404,354,295,212,78,24,11
555,586,563,503,401,136,55,33
560,877,921,865,710,275,122,63
565,1193,1404,1330,1094,437,195,96
570,1490,1870,1849,1532,624,274,135
575,1621,2204,2231,1895,786,339,176
580,1530,2195,2284,1930,850,375,191
585,1345,2019,2102,1792,830,380,174
590,1233,1858,1890,1619,808,388,186
595,1276,1928,1742,1556,841,481,197
600,1608,2344,1915,1795,993,678,286
605,2087,3103,2318,2246,1288,1005,401
610,2596,3923,2854,2817,1689,1403,535
615,3052,4692,3449,3375,2074,1737,720
620,3315,5140,3824,3689,2385,1987,849
625,3321,4973,3799,3673,2458,2132,984
630,3297,4627,3495,3362,2288,2113,1029
635,3429,4428,3289,3065,2104,2170,1089
640,3847,4461,3162,2950,2003,2363,1205
645,4502,4856,3249,2996,1956,2682,1412
650,5223,5336,3458,3038,1913,2928,1566
655,5983,5926,3640,3149,1865,3090,1736
660,6643,6423,3881,3170,1848,3196,1842
665,7005,6696,3973,3201,1765,3228,1995
670,6925,6687,4059,3269,1748,3388,2142
675,6305,6410,3937,3308,1771,3535,2272
680,5445,5753,3816,3329,1721,3655,2399
685,4748,5221,3621,3317,1733,3609,2457
690,3906,4609,3477,3379,1736,3615,2550
695,3447,4220,3493,3519,1778,3673,2650
700,3026,4142,3687,3794,1901,3759,2836
705,2765,4152,4041,4142,1994,3886,3188
710,2637,4235,4493,4679,2240,4139,3466
715,2494,4514,5213,5397,2488,4347,3921
720,2436,4764,6267,6308,2762,4567,4431
725,2431,5250,7440,7428,3112,4774,5180
730,2523,5838,8873,8857,3533,5171,5865
735,2709,6835,11250,10997,4190,5575,6892
740,2940,7910,13859,13467,4990,6199,8046
745,3264,8910,16298,16322,5610,6930,9145
750,3655,9780,18803,19300,6452,7579,10176
755,3935,10488,21011,21992,7121,8094,10948
760,4094,10779,22176,24034,7343,8382,11160
765,4083,10339,21740,24850,7169,8127,10821
770,3928,9420,20458,23673,6635,7498,9569
775,3612,8457,18370,21846,5919,6528,8350
780,2892,6964,14900,17823,4939,5248,6283
785,2591,5610,12757,15172,3797,4087,5183
790,2122,4384,9887,12081,3085,3135,3861
795,1643,3356,7596,9560,2385,2448,3070
800,1233,2302,5300,6848,1692,1566,2033
805,995,1753,4048,4943,1004,1155,1370
810,682,1001,2689,3465,631,633,832
815,564,746,1934,2593,354,178,595
820,266,248,960,1692,289,49,126
825,202,136,721,1055,85,-136,-152
830,109,54,93,1028,-188,-75,-73
835,223,-364,21,428,-104,-337,-308
840,-117,-257,-308,276,-260,-649,-349
845,-110,-543,-419,551,-311,-829,-279
850,-67,-494,-340,401,-103,-630,-1001
