550,26,-10,4,-1,1,159,37,-11,4,196,211,62,149,2,84,56,60,652
555,27,-7,0,4,3,199,29,-12,7,277,326,91,177,3,136,85,81,786
560,28,-11,3,5,5,288,32,-14,1,462,518,123,227,5,208,121,130,933
565,43,-10,-1,6,4,394,36,-16,0,716,772,162,295,8,312,169,200,1134
570,57,-6,0,6,10,507,38,-10,6,1073,1137,231,387,5,487,218,312,1371
575,74,-13,-1,5,8,678,26,-17,-2,1582,1686,334,513,6,748,296,481,1633
580,89,-7,14,8,10,821,20,-13,10,2144,2253,455,644,11,1063,390,714,1841
585,111,-12,13,4,7,1016,23,-7,3,3014,3101,640,740,9,1564,534,1068,2073
590,137,-15,11,9,3,1180,23,-17,8,3973,4006,872,839,9,2109,765,1478,2285
595,189,-10,8,8,12,1337,31,-8,18,5286,5204,1235,909,14,2840,1159,2113,2540
600,222,-25,11,28,11,1428,13,-2,14,6677,6303,1661,1005,23,3585,1565,2806,2789
605,277,-17,16,34,20,1460,28,-1,23,7952,7494,2242,1084,29,4442,1992,3657,3020
610,325,-13,33,40,42,1457,20,37,37,9157,8489,2934,1192,44,5293,2402,4559,3241
615,393,-14,53,76,53,1443,32,53,70,10469,9471,3925,1300,63,6101,2818,5530,3464
620,470,-19,89,130,96,1376,17,112,132,11846,10430,5195,1391,104,6935,3377,6659,3671
625,565,-8,160,206,169,1210,19,216,238,12989,11057,6893,1526,171,7564,4154,7854,3915
630,666,-13,274,381,322,1136,11,415,444,14081,11654,9226,1650,291,8315,5238,9156,4096
635,804,-25,469,624,530,1052,29,740,770,14949,12013,11679,1775,489,8857,6155,10239,4155
640,934,-9,767,1032,915,940,31,1315,1304,15647,12276,14609,1889,817,9267,7169,11217,4294
645,1090,-20,1360,1814,1715,825,46,2313,2394,16375,12300,18809,2031,1432,9659,8315,12070,4307
650,1263,-8,2215,2932,2822,733,32,3718,3956,16951,12384,22901,2153,2282,10006,9385,12810,4342
655,1473,-9,3686,4592,4631,637,33,6248,6534,17656,12455,28331,2293,3485,10208,10610,13448,4374
660,1701,-5,5951,7462,7217,533,39,10203,10562,18184,12461,34425,2442,4940,10614,11777,14012,4415
665,2008,-9,9688,11791,11314,433,38,16494,16609,18794,12688,41943,2636,6717,10899,13179,14553,4395
670,2277,-8,15511,18348,16340,336,17,27362,24052,19406,12797,51025,2763,8693,11162,14207,15031,4355
675,2639,-2,23208,26264,21840,272,39,40209,31856,19600,12926,61110,2925,10229,10970,15472,15299,4314
680,3075,18,31971,34974,26252,223,49,54475,38360,19538,12913,71890,3066,11473,10473,16263,15316,4232
685,3496,15,39651,41860,29144,205,51,67410,42508,19305,13019,82977,3250,12842,9852,17644,14846,4050
690,3965,22,47179,47939,30199,133,34,79517,43809,18690,12757,96594,3264,14534,8779,18706,13941,3866
695,4501,29,51354,51923,30057,138,35,86357,42982,18175,12757,109986,3348,16529,7859,20436,12228,3679
700,5117,29,51960,52375,28149,137,31,88887,40604,17294,12437,124844,3333,18368,6680,22323,10475,3413
705,5759,47,49473,50372,25385,127,20,84645,35992,16065,11962,138210,3179,19935,5630,24605,8614,3158
710,6500,35,43715,46268,21255,50,41,76611,30059,14517,11224,149885,3004,20763,4685,27851,6711,2760
715,7194,25,35619,39829,16621,83,77,65019,23922,12662,10232,159915,2650,20097,3791,31866,5122,2336
720,7957,39,28030,32715,12487,87,144,49986,18125,10881,9106,164274,2235,18672,3049,35985,3885,1920
725,8494,25,20423,25073,9114,80,130,38299,13150,8950,7779,163395,1784,15987,2469,40782,2955,1526
730,9062,18,15641,19844,6678,82,145,29891,10144,7540,6770,162539,1548,13686,2087,45484,2330,1284
735,9671,-11,11224,14440,4694,26,261,20501,7212,5978,5563,156986,1137,10911,1667,52024,1816,1027
740,10394,-20,8257,10854,3442,43,232,15224,5511,4691,4504,151310,930,8667,1367,58207,1440,873
745,11101,-38,6487,8306,2699,62,332,11698,4404,3892,3775,146792,774,7010,1156,64288,1214,801
750,11858,-37,5005,6351,2093,18,383,9020,3406,3107,3194,139154,580,5434,947,69133,985,635
755,12564,-35,3771,4767,1615,39,486,6770,2757,2488,2440,129156,452,4137,760,73217,874,588
760,13248,-72,2903,3478,1148,70,495,4886,2153,1913,1832,113908,283,3019,688,74083,676,494
765,13828,-117,2245,2570,905,83,419,3757,1766,1473,1406,100322,288,2349,631,72025,638,443
770,14135,-169,1787,2025,850,26,427,2877,1455,1050,1140,85584,181,1813,459,67028,546,325
775,14172,-134,1513,1616,645,57,374,2304,1237,883,861,73323,176,1446,483,60901,478,452
780,13775,-147,1180,1159,553,55,325,1630,965,770,694,55521,145,1013,472,48993,453,320
785,12976,-143,1005,1032,447,-26,318,1378,751,563,514,46129,115,824,283,41531,447,324
790,11988,-189,876,817,354,-9,107,1044,632,419,409,35694,156,725,324,32999,289,337
795,10655,-246,717,609,334,11,10,830,622,377,358,27770,96,525,337,25649,348,390
800,8831,-271,591,431,372,69,-22,735,608,217,377,20050,104,431,473,18698,340,364
805,6763,-342,475,464,237,158,-49,658,272,208,267,15201,134,280,210,14098,401,353
810,5070,-351,332,325,240,146,-119,237,227,278,245,10560,0,303,294,9733,324,299
815,3666,-337,361,320,201,185,-115,15,200,180,59,7657,-43,338,328,7221,325,278
820,2612,-252,309,266,157,61,-280,-16,201,16,221,5061,79,369,186,4750,253,253
825,1632,-361,421,324,272,50,-235,-210,101,51,69,3651,67,216,-16,3438,188,258
830,977,-557,183,146,130,36,-237,-210,237,114,-38,2429,37,325,200,2474,358,112
835,308,-353,183,0,102,200,-343,-423,200,106,63,1739,-243,40,201,1674,270,103
840,140,-588,138,48,117,-113,-745,-337,114,24,0,1122,-22,-23,208,1213,238,47
845,-390,-695,27,85,331,-52,-602,-459,-109,87,-197,666,275,-1,464,831,365,84
850,-772,-775,-201,137,136,262,-862,-1049,-99,69,239,575,166,-98,399,872,742,34
